X, Y
296.679, 164.337
153.927, 309.889
251.538, 313.101
347.056, 313.101
576.184, 314.356
776.264, 301.035
971.112, 309.414
1052.23, 319.382
265.75, 340.056
383.879, 348.882
554.215, 358.691
716.635, 341.046
881.997, 331.196
968.792, 342.149
1048.65, 356.409
1128.87, 373.597
1230.84, 381.314
254.015, 383.374
173.665, 384.42
296.143, 394.076
380.488, 391.943
460.478, 389.33
653.147, 370.903
799.532, 355.584
913.884, 369.408
1005.32, 376.209
1097.64, 397.464
369.729, 414.848
231.193, 429.731
186.601, 568.134
269.461, 584.302
402.771, 573.773
501.164, 549.587
641.881, 528.263
738.561, 501.173
827.301, 504.854
949.906, 493.202
1005.98, 550.275
1098.68, 548.721
191.587, 551.276
390.966, 600.918
543.006, 588.8
573.411, 507.039
819.111, 526.246
1005.8, 579.146
1133.57, 574.257
1291.65, 482.535
1287.74, 576.89
1415.12, 507.656
249.18, 687.214
388.658, 680.973
466.616, 660.539
601.025, 582.631
751.812, 582.631
824.844, 624.537
911.881, 634.741
1093.28, 612.298
1167.78, 645.364
219.463, 614.034
428.285, 651
513.64, 634.605
680.315, 634.605
