471.454, 872.979
128.18, 504.565
-184.633, -330.963
239.687, -159.722
165.144, -208.255
84.2317, -214.706
613.315, -121.175
361.125, -127.889
857.919, -122.956
942.36, -116.836
1310.55, -128.404
1229.71, -141.68
1614.7, -238.271
-279.986, -22.5727
220.866, 186.469
-37.4541, 117.407
118.397, 173.471
207.66, 179.545
576.545, 193.362
731.705, 202.312
816.665, 196.626
942.799, 204.143
-200.021, 397.382
-378.862, 410.162
2.9946, 527.844
134.455, 593.396
228.675, 585.176
298.572, 544.51
623.541, 603.711
546.209, 560.727
735.733, 551.263
819.586, 553.123
1005.61, 566.303
1123.98, 555.596
1209.41, 542.915
1290.3, 550.93
1378.98, 547.589
1481.42, 547.844
1575.47, 550.672
1673.28, 549.871
1258.8, 612.954
1376.2, 620.68
1267.1, 610.621
