Screen coordinates X, Screen coordinates Y, Estimated coordinates X, Estimated coordinates Y
100, 100, 114.608, 111.071
100, 100, 116.073, 111.849
100, 100, 115.834, 108.33
500, 100, 494.02, 82.3643
500, 100, 495.823, 83.4879
500, 100, 497.404, 84.4247
900, 100, 892.994, 101.741
900, 100, 894.366, 101.401
900, 100, 895.185, 101.61
100, 500, 72.5243, 502.885
100, 500, 72.5443, 500.455
100, 500, 73.7917, 498.443
500, 500, 495.866, 498.925
500, 500, 496.691, 499.59
500, 500, 498.142, 498.07
900, 500, 913.399, 520.465
900, 500, 913.557, 519.99
900, 500, 914.033, 519.779
100, 900, 35.7957, 874.154
100, 900, 204.63, 883.373
100, 900, 255.284, 884.104
500, 900, 450.71, 873.904
500, 900, 438.307, 957.763
500, 900, 442.038, 955.301
900, 900, 901.181, 875.534
900, 900, 901.754, 875.376
900, 900, 903.445, 875.607
